Satellites, Paused, Filtered, Course, Latitude, Longitude, Altitude, Horz_Accuracy, Vert_Accuracy, Real Speed, Calculated Speed, Last_Distance, Total_Distance
8, false, false, 193.37036, 4.809814, 0.460698, 160.0, 37.99, 11.75, 1.18, 1.18, 0.0, 0.0
8, false, false, 178.37952, 44.809807, 20.460707, 160.0, 7.52, 11.28, 1.0, 1.0, 1.0545223, 1.0545223
8, false, true, 178.37952, 44.809807, 20.460707, 160.0, 7.52, 11.28, 1.0, 0.0, 0.0, 1.0545223
8, false, true, 178.37952, 44.809807, 20.460707, 160.0, 7.52, 11.28, 1.0, 0.0, 0.0, 1.0545223
6, false, true, 158.17566, 44.809794, 20.460727, 159.0, 7.99, 11.28, 0.31, 0.0, 0.0, 1.0545223
6, false, true, 158.17566, 44.809794, 20.460727, 159.0, 7.99, 11.28, 0.31, 0.0, 0.0, 1.0545223
6, false, true, 158.17566, 44.809794, 20.460727, 159.0, 7.99, 11.28, 0.31, 0.0, 0.0, 1.0545223
6, false, false, 151.78162, 44.809765, 20.460759, 159.0, 7.99, 10.81, 1.06, 1.06, 6.2214108, 7.2759333
6, false, true, 147.14539, 44.809751, 20.460772, 159.0, 7.99, 10.81, 0.37, 0.0, 0.0, 7.2759333
6, false, true, 176.19873, 44.809749, 20.460772, 158.0, 7.99, 10.81, 0.31, 0.0, 0.0, 7.2759333
5, false, true, 170.00244, 44.809743, 20.460776, 159.0, 7.99, 9.4, 0.18, 0.0, 0.0, 7.2759333
6, false, false, 153.99536, 44.809737, 20.460782, 159.0, 7.99, 8.93, 0.56, 0.56, 3.6045015, 10.880435
7, false, false, 155.06104, 44.809728, 20.460785, 159.0, 7.99, 8.93, 1.37, 1.37, 1.0279236, 11.908359
7, false, false, 162.93823, 44.809716, 20.460787, 159.0, 7.99, 8.93, 1.12, 1.12, 1.3428894, 13.251248
7, false, false, 167.65686, 44.809705, 20.460785, 159.0, 7.99, 8.93, 0.62, 0.62, 1.2326049, 14.483853
7, false, true, 170.21667, 44.809699, 20.460783, 159.0, 7.52, 8.93, 0.37, 0.0, 0.0, 14.483853
